"","Territorial Authority","Age","Population","At least partially vaccinated","Fully vaccinated","Eligible for booster","Booster recieved","Partially vaccinated uptake","Fully vaccinated uptake","Booster uptake"
"99","Taupo District","12+",32180,"Masked","30,101",28435,NA,">95%","94%","65%"
"100","Taupo District","5-11",3743,"1,472","640",NA,NA,"39%","17%",NA
"101","Tauranga City","12+",121578,"Masked","Masked",111776,NA,">95%",">95%","66%"
"102","Tauranga City","5-11",14189,"6,769","2,740",NA,NA,"48%","19%",NA
"103","Thames-Coromandel District","12+",26265,"24,863","24,487",23558,NA,"95%","93%","74%"
"104","Thames-Coromandel District","5-11",2164,"874","409",NA,NA,"40%","19%",NA
"105","Timaru District","12+",41091,"Masked","38,653",36569,NA,">95%","94%","74%"
"106","Timaru District","5-11",4189,"2,305","1,042",NA,NA,"55%","25%",NA
"107","Unknown","12+",129586,"51,619","49,995",47319,NA,"40%","39%","60%"
"108","Unknown","5-11",11050,"2,399","1,229",NA,NA,"22%","11%",NA
"109","Upper Hutt City","12+",36898,"Masked","Masked",34226,NA,">95%",">95%","75%"
"110","Upper Hutt City","5-11",4264,"2,889","1,621",NA,NA,"68%","38%",NA
"111","Waikato District","12+",63214,"Masked","Masked",57566,NA,">95%",">95%","65%"
"112","Waikato District","5-11",8689,"4,364","1,900",NA,NA,"50%","22%",NA
"113","Waimakariri District","12+",52718,"Masked","Masked",48921,NA,">95%",">95%","73%"
"114","Waimakariri District","5-11",5438,"2,973","1,680",NA,NA,"55%","31%",NA
"115","Waimate District","12+",6936,"6,481","6,404",6078,NA,"93%","92%","72%"
"116","Waimate District","5-11",693,"301","141",NA,NA,"43%","20%",NA
"117","Waipa District","12+",46630,"Masked","Masked",42414,NA,">95%",">95%","69%"
"118","Waipa District","5-11",5531,"2,994","1,536",NA,NA,"54%","28%",NA
"119","Wairoa District","12+",6303,"Masked","5,782",5428,NA,">95%","92%","66%"
"120","Wairoa District","5-11",896,"285","78",NA,NA,"32%","9%",NA
"121","Waitaki District","12+",19318,"Masked","18,190",17218,NA,">95%","94%","72%"
"122","Waitaki District","5-11",2012,"1,008","421",NA,NA,"50%","21%",NA
"123","Waitomo District","12+",7758,"7,168","6,991",6476,NA,"92%","90%","61%"
"124","Waitomo District","5-11",967,"347","126",NA,NA,"36%","13%",NA
"125","Wellington City","12+",178497,"Masked","Masked",170073,NA,">95%",">95%","82%"
"126","Wellington City","5-11",16089,"12,175","8,578",NA,NA,"76%","53%",NA
"127","Western Bay of Plenty District","12+",45656,"Masked","Masked",41230,NA,">95%",">95%","65%"
"128","Western Bay of Plenty District","5-11",4861,"1,919","720",NA,NA,"39%","15%",NA
"129","Westland District","12+",7098,"6,690","6,609",6285,NA,"94%","93%","70%"
"130","Westland District","5-11",670,"302","145",NA,NA,"45%","22%",NA
"131","Whakatane District","12+",30314,"27,348","26,680",25097,NA,"90%","88%","64%"
"132","Whakatane District","5-11",3821,"1,318","586",NA,NA,"34%","15%",NA
"133","Whanganui District","12+",39880,"37,121","36,531",34505,NA,"93%","92%","72%"
"134","Whanganui District","5-11",4481,"1,859","937",NA,NA,"41%","21%",NA
"135","Whangarei District","12+",78669,"73,735","72,408",68257,NA,"94%","92%","69%"
"136","Whangarei District","5-11",9594,"3,929","1,619",NA,NA,"41%","17%",NA
